"","logFC","logCPM","PValue","FDR"
"YLR300W",-0.845520065098413,8.91381189518156,4.44730546741009e-44,1.85314834159616e-42
"YER145C",0.944060091741648,8.48555183453131,5.05358611756627e-44,2.09105378025452e-42
"YEL044W",1.41280912990728,7.44093608002642,8.18909401063959e-44,3.36492147645517e-42
"YBR230C",1.2243451450703,7.77019827746758,1.03288577373623e-43,4.21488629186017e-42
"YNL030W",0.558386779884803,9.755280531063,1.46191276731817e-43,5.924751948097e-42
"YBR009C",0.771087598501043,9.1656824589696,2.9347796266892e-43,1.18129871096054e-41
"YMR056C",2.3510549554954,6.25288895205667,3.47661405435537e-43,1.38994090267707e-41
"YFR055W",-1.75412705127358,6.86088466661086,3.53211421956504e-43,1.40265233806485e-41
"YGR159C",-0.765201448086989,8.81165515395692,5.20810267133694e-43,2.05442290042005e-41
"YDR343C",-1.55916822882928,8.9842296806695,6.04955041766097e-43,2.37054237227152e-41
"YBL085W",1.27122664651564,7.68825514533786,8.74822639828884e-43,3.4054773420181e-41
"YDR111C",1.70232087355006,6.97602263647082,7.35013836344516e-42,2.84253390173236e-40
"YDR516C",-0.500300495265402,10.0540315169958,2.08331561407101e-41,8.0045314860118e-40
"YGR008C",-1.00255561155979,8.08478114035118,2.21430702883207e-41,8.45293850941895e-40
"YKL104C",0.877981445823877,8.56458175240829,3.72882384164987e-41,1.41432376096425e-39
"YER055C",-1.00696236808888,8.47437140024015,6.16542652280738e-41,2.32361966467842e-39
"YBR048W",-0.495167048650871,9.90297007415021,7.01679376809515e-41,2.6277448560645e-39
"YGR282C",0.446629329158539,10.2901394624902,9.66643658360827e-41,3.59725190347234e-39
"YMR189W",-1.72610928968009,6.41626481232801,1.21376087958204e-40,4.48863945280433e-39
"YAL003W",-0.592060853283739,9.67611277335254,1.75051360745356e-40,6.43340932627497e-39
"YDR452W",0.992407505876059,8.17104223196038,4.39449402953704e-40,1.60507538103523e-38
"YGR086C",0.475611906196511,10.1099714205398,9.94072929368479e-40,3.60854571967687e-38
"YLR348C",1.01608294845279,8.15452645333453,1.43496530876453e-39,5.17724983656082e-38
"YPL163C",-1.30357394133883,7.13184111070841,1.48074841792151e-39,5.3100535689949e-38
"YHR216W",-0.938778884230707,8.08429687529855,2.74362907595587e-39,9.7795501460427e-38
"YKL065C",1.02361244942926,8.08741415438261,6.01593062194844e-39,2.13151266407598e-37
"YGL035C",1.15933937091319,8.00890885167172,1.01585628768905e-38,3.57787003229531e-37
"YOR230W",-0.734364744789713,8.75487669858889,1.2882915560728e-38,4.51054505164661e-37
"YNL217W",-1.40281210651765,7.16671691379634,1.37189857441411e-38,4.77501403812252e-37
"YDR399W",-1.41487346583887,7.090417497935,5.68261696381692e-38,1.96631839619326e-36
"YGL062W",0.963103462059554,8.26583608764047,7.80378373962728e-38,2.68459234810318e-36
"YBR218C",-0.717893352747811,8.76660110067311,9.41080715833662e-38,3.21871363906808e-36
"YHL020C",1.20469105705073,7.6118490934774,1.58763462614668e-37,5.39887016259191e-36
"YOR375C",0.575798495372547,9.83265910141601,7.8428209044497e-37,2.65176978809308e-35
"YMR116C",-0.293284528438179,11.40324676145,9.37012287645079e-37,3.15017142386132e-35
"YIL117C",1.2316083860935,7.58141095148529,1.1923703396754e-36,3.98601994342335e-35
"YLR155C",0.999000847331862,7.9916332633964,2.71696587464648e-36,9.01547587547426e-35
"YLR157C",0.999000979892995,7.9916332633964,2.73455699407964e-36,9.01547587547426e-35
"YLR158C",0.99900110444875,7.9916332633964,2.75118835342344e-36,9.01547587547426e-35
"YLR160C",0.999001153895014,7.9916332633964,2.75781837664499e-36,9.01547587547426e-35
"YER053C",-1.1658519879784,7.31854288117611,4.70904734944646e-36,1.53095786630081e-34
"YLR438W",-2.12557305265872,6.13807718849574,7.08910603639899e-36,2.29214428510234e-34
"YDR216W",1.66367122484335,6.92375028846465,1.69204638375961e-35,5.44121655038348e-34
"YOR227W",1.11566701430366,7.70630879737757,1.93161096020529e-35,6.17802273055928e-34
"YLR332W",0.958902181698715,8.1093871991619,2.0090279572556e-35,6.39108517369967e-34
"YKL141W",1.34796264794603,7.2925530875863,2.36513025883013e-35,7.48367686711115e-34
"YHR026W",0.862480733676922,8.34944472861608,4.19667873434955e-35,1.32083766335884e-33
"YDR261C-D",-3.87122945197747,4.95674911451349,8.25632901203529e-35,2.58479887641337e-33
"YDR044W",-1.21103604803963,7.46840853035385,9.9041073115192e-35,3.08434752432943e-33
"YER133W",1.0591404371306,7.78026741050007,2.53508188081059e-34,7.85344475851112e-33
"YJR010W",1.78235994803923,6.73146011799848,3.66494487834583e-34,1.12945202318606e-32
"YKL060C",-0.147801031322587,14.028195686536,4.10723278120747e-34,1.25919670292252e-32
"YNL134C",-1.12381490615804,7.31624483874116,6.52140944949776e-34,1.98902988209682e-32
"YGR138C",-2.13673015387627,6.26337541345264,1.50703150729841e-33,4.57287457881268e-32
"YOR356W",1.32078451160044,7.25072159148159,2.16394350258607e-32,6.53268046163356e-31
"YGR027C",0.437336759869056,10.3466042127708,2.56094384801848e-32,7.69193134453063e-31
"YDR210C-C",9.53460468101902,5.70146849696037,4.7409360545223e-32,1.41677366841457e-30
"YEL034W",-0.418408560036384,10.0171182530896,6.79217358206926e-32,2.01956236608562e-30
"YHL050C",1.89715674946561,7.19711597582323,7.07697361387275e-32,2.09372264366425e-30
"YKL117W",0.513502791721908,9.54743195321608,9.77808059121835e-32,2.87845287851935e-30
"YLR150W",-0.308705037694947,10.8750732611195,9.1422553529902e-31,2.67795667938827e-29
"YHR143W",-0.704476844785533,8.69739688243908,1.22345286337747e-30,3.56609388798251e-29
"YGL030W",-0.293934471870812,11.0126066900748,1.79652207380685e-30,5.21079466211525e-29
"YDL137W",0.692493920646941,8.65812937958008,3.93416271255854e-30,1.13553369610775e-28
