"","logFC","logCPM","PValue","FDR"
"YML003W",0.518870416975637,2.47780072553284,0.486955425896549,0.549764406607495
"YJL205C",-0.299061198131935,3.30006110911132,0.487190827450585,0.549891092081859
"YPL111W",-0.0695875628555188,7.41070511683123,0.487331284170181,0.549891092081859
"YLR102C",0.158728945293911,4.97601835598699,0.487346440236145,0.549891092081859
"YER102W",0.0411254235349525,10.0968589157812,0.488223321879677,0.550710448945322
"YNL117W",-0.315754391803801,3.46158956738577,0.48825874854946,0.550710448945322
"YPR016C",-0.050810924018972,7.91574102458057,0.489575804178142,0.552090724856502
"YAL019W",-0.122238181221555,5.86966001292485,0.491048496974931,0.553645952096163
"YJR063W",-0.177582487861321,4.72481373358328,0.492048431884515,0.554667664595289
"YGL016W",0.139134351027796,5.18562012362066,0.493651355435314,0.556347531181056
"YAR023C",0.263719236015265,3.77931777369797,0.493726700394072,0.556347531181056
"YKL068W-A",0.226104810288919,4.29920799527396,0.494818092918404,0.5574711835107
"YDR110W",0.153076800959748,4.88415358252866,0.495663883238156,0.558317760731044
"YCL012C",0.188651767887717,4.4859154654032,0.497530262825422,0.560313392679486
"YIL015W",-0.132291519149026,5.36082793666747,0.498380012166785,0.5611635646034
"YML074C",-0.0343613207061109,9.20069587053223,0.499263536826845,0.562051435959749
"YBR153W",0.139006088252546,5.28477284122354,0.499601719178288,0.5623251611904
"YDL063C",-0.259034797399078,3.78015086229596,0.499873413649793,0.56252396130959
"YLL054C",0.22503167191912,4.21118223724871,0.500132468859125,0.562708465152965
"YNL154C",-0.0501377200339468,7.96826692073883,0.500283955070119,0.562771893944847
"YNL144C",-0.0773027588825105,7.13520576877003,0.500718838786434,0.563154033282518
"YPL023C",0.0725992690969284,7.183727191717,0.502072220009003,0.564568857049273
"YDL120W",0.112838846055674,5.82911774952466,0.50286437448363,0.565108653547965
"Q0050",2.88102796640667,0.958573746972322,0.504147288587066,0.565108653547965
"YGL138C",2.88115219261251,0.958575084532921,0.504397966434593,0.565108653547965
"YNL318C",2.88115232759948,0.958575084532921,0.504402982674927,0.565108653547965
"YBR182C-A",2.88115297169777,0.958575084532921,0.504426925782499,0.565108653547965
"YPL187W",2.88110652548011,0.958574583614826,0.50444792084113,0.565108653547965
"YLR307C-A",2.88107523893031,0.958574247890128,0.504471950320162,0.565108653547965
"YIL054W",2.8809803832336,0.958573246054688,0.504507900449549,0.565108653547965
"YGL007C-A",2.88094807705617,0.958572910330298,0.50453042017082,0.565108653547965
"YIL134C-A",-3.03126521996049,0.859291742582278,0.504557886884214,0.565108653547965
"YKR034W",2.39094657681202,0.859078979816228,0.504557886884214,0.565108653547965
"YDL022C-A",2.39086478215761,0.859078142977378,0.504557886884214,0.565108653547965
"YJL136W-A",2.3908158220545,0.859077641941724,0.504557886884214,0.565108653547965
"Q0130",2.3908158220545,0.859077641941724,0.504557886884214,0.565108653547965
"YBR072C-A",2.3907829917379,0.85907730613901,0.504557886884214,0.565108653547965
"YAR035C-A",2.39073403416889,0.859076805103645,0.504557886884214,0.565108653547965
"YJR151W-A",2.39073403416889,0.859076805103645,0.504557886884214,0.565108653547965
"YJR158W",2.39073403416889,0.859076805103645,0.504557886884214,0.565108653547965
"YML047C",2.39073403416889,0.859076805103645,0.504557886884214,0.565108653547965
"YDR542W",2.39068507811632,0.859076304068453,0.504557886884214,0.565108653547965
"YMR322C",2.39068507811632,0.859076304068453,0.504557886884214,0.565108653547965
"YOR359W",0.22347470176637,4.11743700027264,0.504709898044467,0.565171927844268
"YBL007C",0.0403091888553466,8.55517206652813,0.505092175875778,0.565492981013619
"YER153C",-0.192738873664496,4.5680768881827,0.505714830251169,0.566082983465033
"YGL126W",0.0508290320110381,7.8991555528728,0.507649744475956,0.568141391727677
"YJL153C",-0.26895725477879,3.44445245568534,0.509174585339192,0.569740170471255
"YIL084C",-0.158915766865738,4.71765589425509,0.509507449069001,0.570004835723441
"YJR108W",-0.483376471357277,2.5439484084574,0.509941746682108,0.570382857300195
"YOL058W",-0.077751162594024,6.6875739606024,0.510747499223447,0.571138389052498
"YOL021C",0.0831834358351796,6.73724943837594,0.510810267849555,0.571138389052498
"YBL014C",0.174212533248623,4.91534129830773,0.511614105382787,0.571929087766852
"YNL073W",0.0701558647095935,6.99182621102175,0.512899457525102,0.573257667203633
"YOR079C",0.114594970645718,6.48314000439493,0.514589653595502,0.575038145481508
"YDR070C",0.298660971510712,3.47770029290259,0.515035292811557,0.575427459887836
"YOL096C",0.11718321526398,5.82249633656735,0.515313511212306,0.575629610315879
"YPL103C",0.134436081585196,5.22611278409849,0.516537218291581,0.576887640738256
"YER152C",0.0571390655137866,7.67260731397565,0.518255987208431,0.578697995152347
"YBR127C",-0.0303123649178208,9.12770623188136,0.518422747360333,0.578774980402093
"YJL052C-A",1.13716596078898,1.51105355134705,0.519041245451098,0.579356168521816
"YGL230C",0.634087398119634,2.13903430655062,0.520146908279542,0.580480810314985
"YJL133C-A",-0.123509884766046,5.08574278963897,0.521396404817144,0.581765515237232
"YER175W-A",0.956168859606956,1.4439763922601,0.521796776639474,0.582102474995432
"YOR378W",-0.290220714985933,3.39200961021132,0.522488560585745,0.582764337980368
"YMR321C",0.131549363869432,5.37306240027756,0.522795526948755,0.58299682113754
"YOR060C",0.167171239988065,4.77917724552079,0.524061119130392,0.584298029375265
"YNL094W",-0.0658982467647383,7.0414905190207,0.52730150729929,0.587800116558007
"YJL034W",0.0352293089645777,8.78387629547975,0.528435075788193,0.588952786483092
"YNL113W",0.18751282448519,4.97588376360516,0.529832378982242,0.590398905167218
"YOR107W",-0.219171599107198,3.83353488314204,0.529960246146929,0.590430197034716
"YPR137W",0.151847524868918,4.86504948152758,0.530815017526089,0.591271170689358
"YDR143C",0.0811593028879283,6.52055880221926,0.532391812126173,0.592915933060524
"YLR130C",0.0738945586484268,7.00635234171904,0.53258842429309,0.593023279364361
"YLR287C",0.192877564539337,4.22130619444247,0.533110813057504,0.59347320272336
"YDR152W",0.0746900693843347,6.8173305231981,0.533193095433054,0.59347320272336
"YOR025W",0.0968760327649148,5.8648971667529,0.533362610913864,0.593550229222744
"YJL005W",-0.0532287512268922,7.55475245939535,0.534147342211961,0.594311738222672
"YMR261C",0.0461724557060585,7.99604887923211,0.537876497231471,0.598348417769997
"YHR141C",-0.0231799190497952,9.8411547505754,0.538195594946524,0.598590852499733
"YNL231C",-0.08874990283431,6.60357545878247,0.539598677232347,0.600038596726893
"YMR229C",-0.0723981290729906,6.90146239886371,0.541963466164138,0.602555022415107
"YFL011W",0.506290299089319,2.22152093659207,0.54217633840824,0.602678450941491
"YGR187C",0.138331747317239,4.94610396278913,0.542352383892029,0.602760904487065
"YLR187W",0.128901148750548,5.25088281348456,0.543749426544401,0.604200067016567
"YGR060W",0.0375553854296301,8.46677867166508,0.545319106013756,0.6058304825917
"YBL097W",-0.227071174082387,3.92258133173661,0.547038767653011,0.607626879707691
"YPL043W",0.0932149793225806,6.198204440823,0.549465917380464,0.610208302015805
"YDR429C",0.0354398546728964,8.54142067392528,0.552967767566773,0.613982038035766
"YNL315C",0.0757913352748303,6.50014308496523,0.554426309162953,0.615486017132681
"YLL009C",-0.110453122322709,5.31444316171685,0.555205074125631,0.616234932208096
"YAL039C",0.0434891740312922,7.97620491201797,0.555933620243898,0.616927837768782
"YDL043C",0.175099167373505,4.47760825678253,0.558142603963711,0.619263039124935
"YHR064C",-0.029576477475101,8.98827473229969,0.55934051683938,0.620475785177842
"YKL183W",0.0934201160691234,6.40399406589975,0.559760345493603,0.620825110456541
"YNL243W",-0.0386816652650289,8.49349116081397,0.560174946484949,0.621141915401281
"YKR103W",0.240181083098874,3.39137742271421,0.560255940932337,0.621141915401281
"YIL103W",0.156150792441855,4.77238155169508,0.56481246286107,0.626076309994184
