"","logFC","logCPM","PValue","FDR"
"lcl|NC_004354.4_gene_2449",2.1373891723038,6.24951284481739,0.0181239210932207,1
"lcl|AE014134.6_gene_1697",-0.989487649354951,7.81256290953512,0.0186488974104494,1
"lcl|AE013599.5_gene_2886",-1.25134797352411,7.21788091192486,0.0191975862759935,1
"lcl|AE014297.3_gene_4033",4.85572534678087,5.51293053573322,0.0196204114051255,1
"lcl|NC_004354.4_gene_216",-0.545673794579477,9.56809597711017,0.0199422348842357,1
"lcl|NC_004354.4_gene_996",-0.516595844102307,9.97856818698938,0.0199680014794158,1
"lcl|AE014296.5_gene_2479",0.562696798832254,9.34929501710747,0.0199709426356052,1
"lcl|NC_004354.4_gene_435",1.38854982024898,6.9632870864874,0.020020529118129,1
"lcl|AE014296.5_gene_1857",-5.01169549752856,5.60344626965971,0.020107216743618,1
"lcl|AE013599.5_gene_3409",0.643149711252312,9.42422510323014,0.0202048654238548,1
"lcl|AE014134.6_gene_1320",-0.663386805684951,9.66622929171082,0.0204211061031683,1
"lcl|AE013599.5_gene_1317",-1.6194639117646,6.64938868689694,0.0207884225932818,1
"lcl|AE014296.5_gene_1703",1.71401976689395,6.51397097866426,0.0208949914816948,1
"lcl|NC_004354.4_gene_2667",0.441012575667589,11.9763638724425,0.0216585355214853,1
"lcl|AE014134.6_gene_434",-0.883595414800486,8.01430642965582,0.0217169586941614,1
"lcl|AE014296.5_gene_1396",1.07470631784137,7.53494358076641,0.0218302764393529,1
"lcl|NC_004354.4_gene_544",1.12090913242524,7.416146717564,0.0218680074519611,1
"lcl|AE013599.5_gene_3236",-1.634093868191,6.81746540397925,0.0218680633754438,1
"lcl|AE014297.3_gene_1977",0.695876237745816,8.67205100392782,0.0220919383276259,1
"lcl|AE014135.4_gene_35",-2.88843150500893,5.77584229379178,0.0221603162038732,1
"lcl|NC_004354.4_gene_1265",-0.680105994158447,8.79463509806567,0.0224373765153631,1
"lcl|AE014297.3_gene_2980",-4.87179290634971,5.51491348649486,0.0225283820931406,1
"lcl|AE014297.3_gene_1671",-2.0276729124175,6.19029846865417,0.0228160706209745,1
"lcl|AE014297.3_gene_1171",-0.672930449206314,9.07382189230205,0.0231895771458429,1
"lcl|AE014297.3_gene_848",-1.84181538519647,6.35895541990736,0.0231952910711797,1
"lcl|AE013599.5_gene_238",-1.29925524110948,7.03129561258198,0.0232551958761384,1
"lcl|AE013599.5_gene_1721",-1.13244761412582,7.33298658755753,0.0233248616670542,1
"lcl|AE014297.3_gene_2477",-1.71389517454414,6.5128864813567,0.0235489666477061,1
"lcl|AE014296.5_gene_3358",1.13368751832045,7.33313813836686,0.0235598780747766,1
"lcl|NC_004354.4_gene_89",-2.32302688155829,5.99818379472319,0.0236752968924871,1
"lcl|AE014134.6_gene_2378",-2.11656628459482,6.24676437059425,0.0239460063375303,1
"lcl|AE014297.3_gene_1950",2.18937157187494,9.50025578935471,0.0239763688845989,1
"lcl|AE013599.5_gene_1993",1.13175730074329,7.33356871150878,0.0242123003526015,1
"lcl|AE014134.6_gene_2922",0.788209373988712,9.06260434454996,0.0242364819149362,1
"lcl|AE014134.6_gene_21",0.791872345214137,8.26395090137935,0.024449136390863,1
"lcl|AE014296.5_gene_1144",-2.88569921504947,5.77508936016447,0.0245459214409939,1
"lcl|AE014134.6_gene_3209",-2.88568701333545,5.77508936016447,0.0245610472521446,1
"lcl|AE014297.3_gene_749",-0.582114249843664,9.25294777363288,0.0248504562519106,1
"lcl|AE014134.6_gene_256",-0.601537262728655,9.29709631632669,0.0249110087569014,1
"lcl|AE014134.6_gene_3136",3.03403703068187,5.85315995888913,0.0249256112289377,1
"lcl|AE013599.5_gene_2094",1.30470982315454,7.03057389762717,0.0250132575622408,1
"lcl|AE014297.3_gene_113",-2.02617076539175,6.19055196242424,0.0251459177471321,1
"lcl|NC_004354.4_gene_817",2.88381485129477,5.7765375073115,0.0258001449550961,1
"lcl|AE013599.5_gene_2344",0.774091732355258,8.29122988570433,0.0260462762443138,1
"lcl|AE014297.3_gene_2368",1.39350521416546,6.9612021747818,0.0260915515148446,1
"lcl|AE014134.6_gene_1975",2.8898115662468,5.77630413723074,0.0267156041766783,1
"lcl|AE014297.3_gene_600",2.88592412908063,5.77731770399062,0.026719910155097,1
"lcl|AE014134.6_gene_1359",0.691200507063878,9.19305968924193,0.0269701791329573,1
"lcl|AE014296.5_gene_1604",2.31731576723738,5.99948813560979,0.0272259258756713,1
"lcl|NC_004354.4_gene_80",0.469300165317486,9.93396215113946,0.0272807551395389,1
"lcl|AE014297.3_gene_2662",1.03484881916459,7.58143884454777,0.0273998722690048,1
"lcl|AE013599.5_gene_2810",-1.33224006793745,6.9297787824011,0.0275992996875748,1
"lcl|AE014296.5_gene_2329",1.81685579527428,6.55951610266266,0.0279986802259312,1
"lcl|AE013599.5_gene_700",0.574457380289316,9.18904079178332,0.0282571192610312,1
"lcl|NC_004354.4_gene_1841",-0.451368346721986,9.9528331045217,0.0286441088185142,1
"lcl|AE013599.5_gene_936",-2.89756720234216,5.77786951213475,0.0287437404890521,1
"lcl|AE013599.5_gene_207",1.18696647999971,7.28174479017682,0.0288486309703171,1
"lcl|AE013599.5_gene_1487",0.715415687964006,8.44146382788822,0.0297785516671617,1
"lcl|NC_004354.4_gene_1929",1.62916027974732,6.46395462519139,0.0302958747839842,1
"lcl|AE014297.3_gene_2256",1.21237366829393,7.18997699209929,0.0305782230659488,1
"lcl|NC_004354.4_gene_2664",0.763261442343189,8.20339417846223,0.0307506028168414,1
"lcl|NC_004354.4_gene_1213",2.58263340314745,6.13030339291217,0.0307946410102497,1
"lcl|AE014134.6_gene_1254",1.6282082758924,6.46517219219208,0.0309238099315766,1
"lcl|AE014296.5_gene_2324",-1.1925394541401,7.44537139493497,0.0312502764343272,1
"lcl|AE014296.5_gene_812",4.64336766589436,5.4137711988301,0.0312831377277193,1
"lcl|AE014296.5_gene_2747",4.64336766589436,5.4137711988301,0.0312831377277193,1
"lcl|AE014297.3_gene_1737",4.64336766589436,5.4137711988301,0.0312831377277193,1
"lcl|NC_004354.4_gene_197",4.64336766589436,5.4137711988301,0.0312831377277193,1
"lcl|NC_004354.4_gene_941",-4.64437018040134,5.41381165619102,0.0313452608305014,1
"lcl|AE014297.3_gene_1045",-4.64437193791033,5.41381165619102,0.0313520545833968,1
"lcl|AE014134.6_gene_2539",-4.64437350224396,5.41381165619102,0.0313581039781875,1
"lcl|AE013599.5_gene_2473",-4.64437386612219,5.41381165619102,0.0313595114428799,1
"lcl|NC_004354.4_gene_2345",-1.08638442919791,7.30569153180967,0.031515413895505,1
"lcl|AE014297.3_gene_2616",0.719475904555649,8.49907411055617,0.0315889611624207,1
"lcl|NC_004354.4_gene_1217",1.15175874393402,7.16148455037696,0.0317300121905363,1
"lcl|NC_004354.4_gene_1388",4.849531380717,5.51266734391981,0.031762339083165,1
